epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
30,184580.0,184580.0,0.0,147,147,0,0.0,0.000244140625,6.103515625e-05,0.0001057159916729051,0.2559005376780183,0.20599198179651013,0,0,0.0,0,0,0,0,2613,616865.0,53604.0,0.000244140625,23488.0,0.0,17,0.0,24929.0,0.0,19,0.0,19884.0,0.0,16,0.0,24320.0,0.0,22,0.0,35147.0,0.0,30,0.0,928.0,0.0,2,0.000244140625,31884.0,0.0,23,0.0,24000.0,0.0,16
31,181228.0,181228.0,0.0,139,139,0,0.0,0.00048828125,0.00028076171875,0.00015774960917138778,0.7606188938685352,0.16724374820667798,0,0,0.0,0,0,0,0,2502,613761.0,49869.0,0.000390625,25333.0,0.0,17,0.000244140625,21256.0,0.0,15,0.000244140625,22628.0,0.0,15,0.000244140625,25190.0,0.0,18,0.00048828125,31884.0,0.0,22,0.0,3235.0,0.0,4,0.000146484375,27768.0,0.0,24,0.00048828125,23934.0,0.0,16
32,189026.0,189026.0,0.0,140,140,0,0.0,0.000390625,0.00025634765625,0.00013538252571300557,0.782530982450866,0.21021182271221872,0,0,0.0,0,0,0,0,2761,607011.0,47249.0,0.000146484375,24125.0,0.0,20,0.000390625,20836.0,0.0,18,0.000390625,22628.0,0.0,15,0.000146484375,24000.0,0.0,16,0.00029296875,36864.0,0.0,26,0.0,1945.0,0.0,4,0.000390625,34628.0,0.0,23,0.00029296875,24000.0,0.0,16
33,183910.0,183910.0,0.0,146,146,0,0.0,0.0005371093749999999,0.000372314453125,0.00017078941137247585,0.8266317698091886,0.16217307378609025,0,0,0.0,0,0,0,0,2811,628898.0,47072.0,0.000390625,24243.0,0.0,18,0.00029296875,26662.0,0.0,18,0.00029296875,21444.0,0.0,17,0.000390625,22814.0,0.0,18,0.0005371093749999999,32281.0,0.0,24,0.0,4373.0,0.0,7,0.0005371093749999999,27768.0,0.0,23,0.0005371093749999999,24325.0,0.0,16
34,159242.0,159242.0,0.0,128,128,0,0.0,0.000146484375,1.8310546875e-05,4.844515340084089e-05,0.13639307048725063,0.19626574647391926,0,0,0.0,0,0,0,0,2597,554895.0,54032.0,0.000146484375,21656.0,0.0,21,0.0,24236.0,0.0,19,0.0,20124.0,0.0,18,0.0,17445.0,0.0,18,0.0,27791.0,0.0,25,0.0,0.0,0.0,0,0.0,26012.0,0.0,24,0.0,21978.0,0.0,19
35,193782.0,193782.0,0.0,153,153,0,0.0,0.00048828125,0.0001708984375,0.0001600937139722168,0.5347926108669963,0.22318249373006704,0,0,0.0,0,0,0,0,2511,609080.0,48736.0,0.000146484375,26160.0,0.0,24,0.00048828125,27329.0,0.0,19,0.000244140625,24868.0,0.0,18,0.0,19884.0,0.0,16,0.0,36717.0,0.0,27,0.0,1580.0,0.0,3,0.000244140625,35988.0,0.0,26,0.000244140625,21256.0,0.0,15
36,172494.0,172494.0,0.0,145,145,0,0.0,0.000390625,0.00011596679687500001,0.00013579465003226923,0.42515845808882236,0.21438136978677425,0,0,0.0,0,0,0,0,2779,619394.0,45796.0,0.000390625,23605.0,0.0,18,0.000146484375,23298.0,0.0,18,0.000146484375,23381.0,0.0,17,0.0,19884.0,0.0,16,0.000244140625,34937.0,0.0,28,0.0,1887.0,0.0,5,0.0,28075.0,0.0,26,0.0,17427.0,0.0,18
37,183502.0,183502.0,0.0,149,149,0,0.0,0.000732421875,0.00036010742187499997,0.0002793650510582472,0.625101968429814,0.1766166036337471,0,0,0.0,0,0,0,0,2979,641598.0,49820.0,0.000146484375,22628.0,0.0,17,0.0006347656249999999,25679.0,0.0,18,0.0,21256.0,0.0,17,0.00048828125,22628.0,0.0,14,0.0006347656249999999,32352.0,0.0,28,0.0,5011.0,0.0,7,0.000732421875,32368.0,0.0,24,0.000244140625,21580.0,0.0,16
38,184812.0,184812.0,0.0,147,147,0,0.0,0.0006347656249999999,0.000323486328125,0.0001858317547319132,0.7523697024013309,0.18264506633768285,0,0,0.0,0,0,0,0,2727,610524.0,45179.0,0.000146484375,24000.0,0.0,16,0.00029296875,24517.0,0.0,20,0.00048828125,23635.0,0.0,17,0.00029296875,23898.0,0.0,18,0.00043945312499999996,32183.0,0.0,29,0.0,1006.0,0.0,2,0.00029296875,32607.0,0.0,27,0.0006347656249999999,22966.0,0.0,16
39,178801.0,178801.0,0.0,141,141,0,0.0,0.00029296875,0.000164794921875,8.78142979122202e-05,0.7796759652457381,0.23598371933042794,0,0,0.0,0,0,0,0,2816,594381.0,44632.0,0.000146484375,21128.0,0.0,15,0.000146484375,24386.0,0.0,21,0.00029296875,22628.0,0.0,16,0.000146484375,21538.0,0.0,17,0.000146484375,36344.0,0.0,33,0.0,647.0,0.0,1,0.00029296875,33746.0,0.0,27,0.000146484375,18384.0,0.0,17
