epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
30,431351.0,431351.0,0.0,292,292,0,0.0,0.02490234375,0.00311279296875,0.008235676078142951,0.1250702577643975,0.8301421000530884,292,91591.19562211432,84283.74696397409,196664.0420769857,209032.99529982862,210538.61437088935,210788.85414955392,0,0,0.0,0,0,0,0,292,431351.0,1500.0,0.0,67820.0,0.0,46,0.0,0.0,0.0,0,0.0,893.0,0.0,1,0.0,359.0,0.0,1,0.02490234375,360000.0,0.0,138,0.0,128.0,0.0,1,0.0,2020.0,0.0,2,0.0,131.0,0.0,1
31,864659.0,864659.0,0.0,588,588,0,0.0,0.012451171875,0.00263671875,0.004665130646277591,0.24224484315338507,0.803555361130804,588,311665.1567112057,335321.25528945215,566796.1282463969,587446.4658241733,591186.5258393217,591644.3478532098,0,0,0.0,0,0,0,0,588,864659.0,1500.0,0.012451171875,177406.0,0.0,69,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,17235.0,0.0,15,0.008642578125,659550.0,0.0,483,0.0,0.0,0.0,0,0.0,3821.0,0.0,4,0.0,6647.0,0.0,9
32,590995.0,590995.0,0.0,400,400,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.8469248893814665,400,228023.38594668522,235255.12716001272,392727.33263862855,403490.19814668,406939.6876536942,407267.3257671483,0,0,0.0,0,0,0,0,400,590995.0,1500.0,0.0,525922.0,0.0,404,0.0,460.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,59,0.0,64272.0,0.0,44,0.0,154.0,0.0,1,0.0,187.0,0.0,1
33,595687.0,595687.0,0.0,406,406,0,0.0,0.056884765625,0.007110595703125,0.018812867903993214,0.12503076074100208,0.8738433522974309,406,208450.71846541407,186093.79668588564,452693.0124769658,478173.77688971977,482644.49817554763,483452.0803262964,0,0,0.0,0,0,0,0,406,595687.0,1500.0,0.056884765625,594079.0,0.0,166,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,223.0,0.0,2,0.0,381.0,0.0,1,0.0,0.0,0.0,0,0.0,107.0,0.0,1,0.0,897.0,0.0,3
34,3093589.0,3093589.0,0.0,2073,2073,0,0.0,0.300244140625,0.044305419921875,0.09746695807596352,0.17125216836365786,0.7941140936950577,2073,1280977.7512241078,1284046.7306644097,2670103.282652771,2747542.3816775363,2765777.332739432,2768025.8996056095,0,1,0.0,0,0,0,0,2073,3093589.0,2744.0,0.300244140625,2351801.0,0.0,482,0.0,0.0,0.0,0,0.0,371.0,0.0,1,0.0205078125,256331.0,0.0,90,0.0,292.0,0.0,2,0.0,0.0,0.0,0,0.0,294.0,0.0,1,0.03369140625,484500.0,0.0,185
35,1509817.0,1333096.0,0.0,1016,898,0,0.0,0.12392578124999999,0.02783203125,0.048616264009600944,0.24685259685764485,0.8195085066600785,898,524680.447304352,508418.9138742015,874884.5088840246,909634.0012683269,1066067.6898226764,2364475.040086545,1,0,176721.0,118,0,0,0,898,1333096.0,2552.0,0.12392578124999999,176999.0,0.0,478,0.0,3813.0,0.0,3,0.0,0.0,0.0,0,0.09873046875,1255914.0,0.0,486,0.0,146.0,0.0,1,0.0,0.0,0.0,0,0.0,72.0,0.0,1,0.0,72873.0,0.0,190
36,1066269.0,1066269.0,0.0,721,721,0,0.0,0.12055664062499999,0.02186279296875,0.04132720852504533,0.21867887828345997,0.8727803443596311,721,1226695.9077845546,1233235.3760794252,1526392.086581163,1550454.5138617412,1556962.1987221744,1557468.4384862855,0,0,0.0,0,0,0,0,721,1066269.0,1500.0,0.054345703125,2380.0,0.0,480,0.0,587.0,0.0,119,0.0,0.0,0.0,0,0.12055664062499999,1060932.0,0.0,479,0.0,0.0,0.0,0,0.0,293.0,0.0,2,0.0,0.0,0.0,0,0.0,2077.0,0.0,3
37,571228.0,571228.0,0.0,391,391,0,0.0,0.062548828125,0.007818603515625,0.02068608050215906,0.1250279754892778,0.7722319284068704,391,713405.0013122672,875166.4131400436,1312442.8044627719,1329006.5344567918,1332305.1602067673,1332674.2871909663,0,0,0.0,0,0,0,0,391,571228.0,1500.0,0.0,2856.0,0.0,376,0.0,219439.0,0.0,148,0.0,1405.0,0.0,4,0.062548828125,346281.0,0.0,474,0.0,462.0,0.0,1,0.0,0.0,0.0,0,0.0,785.0,0.0,1,0.0,0.0,0.0,0
38,752554.0,752554.0,0.0,508,508,0,0.0,0.0671875,0.0083984375,0.02222017702651902,0.12502604421254296,0.8732446442381541,508,692832.4326971711,701511.6230837181,892439.8493452992,909593.6239969634,912781.8035385535,913183.6964446083,0,0,0.0,0,0,0,0,508,752554.0,1500.0,0.0,819.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0671875,750000.0,0.0,481,0.0,438.0,0.0,1,0.0,345.0,0.0,1,0.0,0.0,0.0,0,0.0,952.0,0.0,4
39,1421934.0,1421934.0,0.0,952,952,0,0.0,0.15029296875,0.01878662109375,0.04970472738926275,0.12501164346524318,0.8445416594581743,952,1132405.0324091625,1236691.6390181072,1605123.6599587458,1637222.9792807612,1644333.2447668696,1645327.2014854848,0,0,0.0,0,0,0,0,952,1421934.0,2776.0,0.0,736.0,0.0,2,0.0,171374.0,0.0,115,0.0,0.0,0.0,0,0.15029296875,1249693.0,0.0,486,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,131.0,0.0,1
40,1266906.0,1266906.0,0.0,851,851,0,0.0,0.2037109375,0.0255859375,0.06732568060314546,0.1262058366360103,0.8707500793271163,851,1975365.2291372817,2003925.2852285355,2327407.6650214978,2358792.3953939453,2365430.8153966903,2366023.556158811,0,0,0.0,0,0,0,0,851,1266906.0,1500.0,0.0,2407.0,0.0,3,0.0,890.0,0.0,3,0.0,0.0,0.0,0,0.2037109375,1253418.0,0.0,478,0.0,896.0,0.0,2,0.0009765625,9000.0,0.0,2,0.0,0.0,0.0,0,0.0,295.0,0.0,1
41,1293593.0,1293593.0,0.0,876,876,0,0.0,0.25419921874999996,0.031774902343749994,0.08406848953492588,0.12500688420362022,0.8625362652704518,876,2615573.490496812,2713067.7253082544,3065123.9331306126,3100524.991848737,3108724.027990843,3109217.3113749027,0,0,0.0,0,0,0,0,876,1293593.0,2155.0,0.0,6769.0,0.0,7,0.0,1703.0,0.0,3,0.0,0.0,0.0,0,0.25419921874999996,1257102.0,0.0,489,0.0,2156.0,0.0,3,0.0,23067.0,0.0,21,0.0,1936.0,0.0,5,0.0,860.0,0.0,2
42,1367123.0,1367123.0,0.0,919,919,0,0.0,0.32548828124999996,0.040686035156249994,0.10764513085666844,0.12500537643971668,0.8740789051168034,919,3513628.1956503503,3496137.98610992,3948046.998936852,3983651.014047504,3991385.7437025877,3992119.9016098455,0,1,0.0,0,0,0,0,919,1367123.0,1500.0,0.0,333.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.32548828124999996,1363601.0,0.0,480,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2340.0,0.0,3,0.0,849.0,0.0,3
43,1252828.0,3328.0,0.0,839,6,0,0.0,0.21123046874999998,0.026403808593749998,0.06985791120401255,0.12500828455709165,0.8740128333657928,6,661685.2153168867,2049.700042594224,2970364.063742621,3761720.4619780397,3939775.6515810085,3959559.5615368932,1,0,1000000.0,666,0,167,0,6,3328.0,1500.0,0.0,1564.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.21123046874999998,1249886.0,0.0,493,0.0,751.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,627.0,0.0,2
44,1314055.0,1314055.0,0.0,882,882,0,0.0,0.18691406249999998,0.041418457031249994,0.0725207048891883,0.2459662162137114,0.8555118507216208,882,1747566.5651664136,1778870.040606115,2127077.0157461283,2519664.215200933,2828352.5750526865,2829544.303209305,0,0,0.0,0,0,0,0,882,1314055.0,1883.0,0.0,0.0,0.0,0,0.18691406249999998,1251659.0,0.0,470,0.0,23612.0,0.0,17,0.14443359375,30571.0,0.0,477,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8213.0,0.0,8
