epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
32,527088.0,441313.0,85775.0,2722,2159,563,0.1627337370609838,0.5727058474198133,0.30880174370742974,0.14743144145889167,0.8143719709535339,0.32059257657165374,1,0.0,0,0.213134765625,11808.0,0.0,246,0.293359375,43194.0,0.0,248,0.38910352175473845,86349.0,15388.0,248,0.039208984375,123483.0,0.0,252,0.243603515625,22768.0,0.0,245,0.303515625,72144.0,0.0,252,0.41578231485988637,59060.0,12788.0,248,0.5727058474198133,108282.0,57599.0,254
33,641018.0,439828.0,201190.0,3733,2410,1323,0.31386014121288275,0.6411873014316032,0.39882631320572276,0.1866938245009461,0.8202603076336019,0.262563609758228,1,0.0,0,0.20610351562499998,33949.0,0.0,252,0.5431474930408233,60352.0,28288.0,247,0.4967278015664134,136899.0,53984.0,251,0.07236328125,134564.0,0.0,251,0.2697265625,48528.0,0.0,252,0.6411873014316032,104498.0,69674.0,248,0.3915189149817353,46132.0,8088.0,249,0.5698356352502066,76096.0,41156.0,250
34,609880.0,409277.0,200603.0,3108,1965,1143,0.3289220830327272,0.5917296767095598,0.38607172012009816,0.17047199794128778,0.8368403598167322,0.3124918016659013,1,0.0,0,0.2021484375,26590.0,0.0,251,0.5046004387041665,42768.0,17626.0,250,0.5917296767095598,175575.0,102338.0,247,0.07216796874999999,108782.0,0.0,247,0.275146484375,44180.0,0.0,252,0.42648655710682304,61652.0,17836.0,248,0.5039362665049698,57104.0,23280.0,251,0.512357931310266,93229.0,39523.0,249
35,621288.0,507123.0,114165.0,2801,2177,624,0.18375535983312055,0.5757923538090854,0.34056944172774295,0.14466389275457361,0.8471488633638216,0.28551734461312606,11,0.0,0,0.220703125,83200.0,0.0,253,0.3412508190148763,26852.0,2176.0,250,0.45231910982768203,109486.0,33514.0,250,0.105810546875,150831.0,0.0,251,0.26806640625,38352.0,0.0,246,0.276123046875,53785.0,0.0,251,0.48449012617029963,51696.0,19408.0,251,0.5757923538090854,107086.0,59067.0,250
36,603364.0,517628.0,85736.0,2699,2187,512,0.1420966448114237,0.5428112218733944,0.3406865591954823,0.1276928411497969,0.8768216542958434,0.30888236620017073,0,0.0,0,0.27700195312500003,75123.0,0.0,251,0.4897227652299425,36704.0,13920.0,250,0.4196105730764199,121117.0,29506.0,257,0.12646484375,159073.0,0.0,250,0.258984375,32564.0,0.0,249,0.273486328125,70272.0,0.0,251,0.3374104133841015,28560.0,3484.0,249,0.5428112218733944,79951.0,38826.0,248
37,598427.0,484136.0,114291.0,3098,2337,761,0.19098570084571687,0.5627501613944428,0.35829819795567,0.14324774612719798,0.8621876481625667,0.29459044294458603,0,0.0,0,0.2595703125,43432.0,0.0,249,0.5627501613944428,49568.0,26048.0,251,0.5523056853634369,124426.0,62483.0,252,0.15878906250000002,173498.0,0.0,252,0.30048828125,49952.0,0.0,244,0.273193359375,53183.0,0.0,250,0.27084960937499997,37676.0,0.0,251,0.4884391118874798,66692.0,25760.0,251
38,482777.0,385528.0,97249.0,2462,1984,478,0.20143668816037177,0.5241502784380604,0.34467280645484993,0.12886913891153026,0.8773526906018002,0.32010560776507546,0,0.0,0,0.31494140625,47275.0,0.0,248,0.43962770226882153,11680.0,3840.0,254,0.5241502784380604,145718.0,65297.0,249,0.12919921874999998,84324.0,0.0,250,0.290966796875,45132.0,0.0,252,0.250634765625,37124.0,0.0,248,0.29086914062499997,46100.0,0.0,248,0.5169931428069177,65424.0,28112.0,252
39,503300.0,317432.0,185868.0,3258,1884,1374,0.3692986290482806,0.6409859343262272,0.382019435887214,0.1684659031117463,0.8371912343109047,0.32592588913173026,1,0.0,0,0.5582619165253591,62808.0,31761.0,251,0.28134765624999997,24416.0,0.0,248,0.6409859343262272,157049.0,107103.0,248,0.132373046875,70953.0,0.0,249,0.27275390625,29652.0,0.0,253,0.22148437499999998,22906.0,0.0,252,0.5032547264189784,74032.0,28656.0,252,0.4456939254521477,61484.0,18348.0,250
40,422239.0,330554.0,91685.0,2390,1639,751,0.21714005575041573,0.5897879505101614,0.3447882756997532,0.15775383495939665,0.826896441585263,0.2071158159241564,16,0.0,0,0.5897879505101614,54688.0,31808.0,254,0.266015625,21300.0,0.0,248,0.5370718830377659,73870.0,35025.0,248,0.11440429687499999,57189.0,0.0,252,0.27084960937499997,47392.0,0.0,247,0.22783203124999998,74959.0,0.0,246,0.272021484375,23024.0,0.0,252,0.480323325175098,69817.0,24852.0,247
41,443193.0,393548.0,49645.0,2084,1756,328,0.11201666091296543,0.4810319027952328,0.29848401599146157,0.11041512330939302,0.8796307953703072,0.23222811506499386,0,0.0,0,0.27216796875,5824.0,0.0,246,0.295068359375,60113.0,0.0,252,0.377963286668372,66902.0,10471.0,250,0.0955078125,69355.0,0.0,246,0.3908886572180879,85284.0,14978.0,250,0.23310546875,68135.0,0.0,249,0.242138671875,20752.0,0.0,247,0.4810319027952328,66828.0,24196.0,251
