epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
33,788175.0,198942.0,589233.0,4762,2596,2166,0.7475915881625264,0.5446368495813365,0.43442237321365496,0.05333651003355452,0.9851499753067147,0.09996621943096384,0,0.3573408658041923,2166,0.4121118880165685,73368.0,59096.0,269,0.37590525810899145,76387.0,52259.0,331,0.38698956078560537,92079.0,68111.0,331,0.46195167304250173,110492.0,87420.0,331,0.4043876793681931,93710.0,70510.0,226,0.40886488586858777,114372.0,86500.0,331,0.5446368495813365,100320.0,63936.0,333,0.48053119093745517,127447.0,101401.0,333
34,675894.0,199447.0,476447.0,4036,2517,1519,0.7049137882567373,0.5278274219086443,0.4127447648121777,0.05879832341454973,0.980109695766111,0.13238244458450565,0,0.2759019954297019,1519,0.3717324924433048,66425.0,47004.0,206,0.3385745699352214,58396.0,36412.0,332,0.3826832956253234,99476.0,65780.0,284,0.4428082608931518,116346.0,83450.0,334,0.36113303728159013,86021.0,57829.0,341,0.4119303663401953,74944.0,60448.0,321,0.5278274219086443,67331.0,43107.0,332,0.46526867406999073,106955.0,82417.0,327
35,714294.0,199067.0,515227.0,4057,2511,1546,0.7213094328105784,0.5197319618192047,0.41756439685306224,0.05664726573671663,0.9819286370539239,0.12084414820788059,0,0.2755113442840909,1546,0.37483071228877624,64418.0,46914.0,249,0.33374261286010193,66699.0,41355.0,336,0.40419574201047176,104152.0,71736.0,331,0.4653351535600064,113848.0,89278.0,337,0.3768958102983356,90216.0,63784.0,335,0.4029225627914485,106364.0,79356.0,253,0.5197319618192047,63575.0,40567.0,337,0.4628606191961528,105022.0,82237.0,336
36,667266.0,199462.0,467804.0,3568,2416,1152,0.7010757329161074,0.4909429742726195,0.40982165495248724,0.047446591282958625,0.9867737171971734,0.1676887478157134,0,0.29651690888025944,1152,0.36396885276632784,55344.0,39152.0,201,0.35552982702496405,50439.0,34151.0,242,0.4088724713411785,76220.0,56746.0,333,0.4570324981021174,127733.0,92245.0,335,0.35715339516945566,91320.0,56696.0,332,0.39960594037678043,84730.0,66625.0,315,0.4909429742726195,69883.0,39067.0,335,0.4454672805664545,111597.0,83122.0,333
37,653810.0,198848.0,454962.0,3489,2417,1072,0.6958627124088027,0.5020049125807979,0.40537318683296764,0.06261932379294823,0.9766941316587703,0.11475696303207328,0,0.2702857397045936,1072,0.3481485355940728,57323.0,38923.0,235,0.3022276511498573,80007.0,38727.0,316,0.3670637049706265,82526.0,53694.0,332,0.46864761040675723,108522.0,83722.0,328,0.39178165637153434,81764.0,59492.0,329,0.4081993740010396,79458.0,62914.0,184,0.5020049125807979,59017.0,35497.0,328,0.4549120495890552,105193.0,81993.0,334
38,681455.0,198537.0,482918.0,3688,2448,1240,0.7086572114079422,0.49232258638041826,0.4112652032136388,0.049096565641606416,0.9859488240461091,0.11941856028644571,0,0.2826796484079743,1240,0.36713602697072345,85660.0,56147.0,241,0.3411995224800415,62144.0,37728.0,337,0.4020882187520524,91178.0,66378.0,329,0.4653512965933986,102318.0,79790.0,330,0.40667230389780734,71577.0,56665.0,300,0.3702558239917744,94777.0,65241.0,290,0.49232258638041826,60112.0,35696.0,331,0.4450958466428942,113689.0,85273.0,333
39,681691.0,199677.0,482014.0,4124,2515,1609,0.7070857617307538,0.5146085014930917,0.40993283933508134,0.05441142773734512,0.9826870898511489,0.1202335442304503,0,0.2944102950733604,1609,0.3435838140123759,71080.0,45512.0,338,0.34881603415302737,63565.0,40397.0,333,0.39220219404138834,79446.0,57430.0,331,0.45932020162390513,117248.0,86240.0,329,0.37677517607810895,95004.0,63964.0,275,0.40720510902913953,92524.0,72940.0,298,0.5146085014930917,62182.0,40553.0,329,0.4369516842496137,100642.0,74978.0,333
40,659586.0,198071.0,461515.0,3760,2467,1293,0.6997040567871351,0.5053172360298307,0.41077243665285235,0.05892724624885953,0.9798357084171968,0.10092884021189019,0,0.3492958176646208,1293,0.39108804535527164,56651.0,43531.0,277,0.3213924710740238,70352.0,38928.0,334,0.38211421789538613,94067.0,63667.0,334,0.4952166685067798,78403.0,69292.0,332,0.37580528294306303,87120.0,60784.0,335,0.3824262981516382,78820.0,59108.0,280,0.5053172360298307,82665.0,48137.0,330,0.43281927326682523,111508.0,78068.0,334
41,720607.0,200324.0,520283.0,4305,2563,1742,0.7220065861142054,0.5091671763290062,0.42265973897533865,0.04097066052645076,0.9906910135534776,0.1000918323024893,0,0.3038295093491165,1742,0.39826540026726753,63652.0,49700.0,172,0.38134768901088956,98369.0,59617.0,337,0.3977684221081189,97119.0,67455.0,335,0.4381733001824642,100497.0,79473.0,331,0.386839113238929,77172.0,56948.0,328,0.41033827223437735,100520.0,77704.0,229,0.5091671763290062,69516.0,41864.0,336,0.45937853843165655,113762.0,87522.0,337
42,705304.0,199456.0,505848.0,4196,2538,1658,0.7172056304799055,0.5242468424757766,0.41991522135344994,0.04770627749122727,0.9872573949263427,0.0918777576761225,0,0.31769905504292806,1658,0.3717234568387388,66455.0,47991.0,219,0.38651644280099856,81158.0,49510.0,334,0.39905910362402797,98209.0,65761.0,338,0.42317686354838935,110267.0,83515.0,335,0.3755277066256791,91500.0,65612.0,330,0.42085002067126137,80728.0,66104.0,224,0.5242468424757766,73599.0,46751.0,337,0.4582213342427275,103388.0,80604.0,336
