epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
30,177229.0,1024.0,176205.0,139,8,131,0.9942221645441718,0.4999999999999856,0.4973150534577783,0.00221923769019616,0.999980086978703,0.34585973514492463,0,0,0.0,0,0,0,131,2407,199896.0,65536.0,0.4999999999999856,34628.0,34628.0,0,0.4969890854346891,42512.0,42256.0,2,0.49999999999966666,1500.0,1500.0,0,0.4999999999999564,11476.0,11476.0,1,0.49455272789169336,11749.0,11621.0,1,0.4957538968664037,29140.0,28884.0,2,0.496561323269709,34756.0,34500.0,1,0.49466339420012256,11468.0,11340.0,0
31,180662.0,1228.0,179434.0,149,8,141,0.993202776455475,0.499999999999985,0.497674130176701,0.002734919713767479,0.9999698013990546,0.3424724070363432,0,0,0.0,0,0,0,141,2475,200088.0,65536.0,0.4927042753852993,31265.0,30763.0,0,0.49741578637361905,45256.0,45000.0,1,0.49999999999857553,351.0,351.0,0,0.4972379657793442,18462.0,18351.0,0,0.4999999999999568,11580.0,11580.0,0,0.499999999999985,33256.0,33256.0,1,0.49403501387687276,29371.0,29012.0,2,0.49999999999995504,11121.0,11121.0,1
32,190624.0,1060.0,189564.0,154,7,147,0.9944393150914839,0.4999999999999853,0.4957946942866862,0.005920211100496732,0.9998574363156314,0.303166180543897,0,0,0.0,0,0,0,147,2524,200004.0,65536.0,0.49802955665023096,32480.0,32352.0,4,0.49858582287430403,45256.0,45128.0,2,0.49444063143438644,7285.0,7204.0,1,0.4813233724652846,15929.0,15334.0,4,0.4939781708693551,10628.0,10500.0,1,0.499999999999985,33256.0,33256.0,0,0.4999999999999853,33840.0,33840.0,1,0.49999999999995814,11950.0,11950.0,0
33,193871.0,1102.0,192769.0,165,9,156,0.9943158079341367,0.49999999999983025,0.49725897259933716,0.0016875627865015825,0.9999884826648715,0.3109225980162058,0,0,0.0,0,0,0,156,2605,200044.0,65535.0,0.4961438814243389,33194.0,32938.0,2,0.49873868334233873,42512.0,42384.0,0,0.49999999999983025,2945.0,2945.0,0,0.4977131464758709,17054.0,16976.0,1,0.4942223114943551,10628.0,10500.0,0,0.4967787814528489,34506.0,34250.0,0,0.4982809562180903,37230.0,37102.0,1,0.49619402038702404,15802.0,15674.0,0
34,157341.0,512.0,156829.0,123,4,119,0.9967459212792534,0.4999999999999583,0.4989714001298869,0.0010508831632781864,0.9999955643039498,0.34239883437883223,0,0,0.0,0,0,0,119,2521,199959.0,65536.0,0.49753959710900747,26012.0,25884.0,1,0.4983936359963711,36512.0,36384.0,1,0.49999999999844236,321.0,321.0,0,0.4999999999999583,12006.0,12006.0,0,0.49999999999995237,10500.0,10500.0,1,0.4979622377176904,31407.0,31279.0,3,0.49787573021772114,30128.0,30000.0,1,0.49999999999995215,10455.0,10455.0,1
35,186875.0,841.0,186034.0,150,5,145,0.9954996655518342,0.49999999999998773,0.4970241663653623,0.004059641416626559,0.9999332898715462,0.34676053511705596,0,0,0.0,0,0,0,145,2516,199908.0,65536.0,0.499999999999985,33256.0,33256.0,0,0.4970336037079839,43150.0,42894.0,3,0.4999999999998512,3360.0,3360.0,0,0.49999999999995676,11566.0,11566.0,0,0.49308556611922066,9256.0,9128.0,1,0.49999999999998773,40601.0,40601.0,0,0.49799272362311825,31884.0,31756.0,1,0.48808143747279464,13802.0,13473.0,1
36,183310.0,632.0,182678.0,143,4,139,0.996552288473073,0.4999999999999843,0.4937507491296095,0.014502089727953025,0.9991380716196677,0.34497026894331917,0,0,0.0,0,0,0,139,2420,200094.0,65536.0,0.4999999999999843,31884.0,31884.0,0,0.49882996349930403,45256.0,45128.0,0,0.45545669123205706,1976.0,1799.0,0,0.4999999999999618,13092.0,13092.0,0,0.4999999999999583,12000.0,12000.0,0,0.498228836912417,31757.0,31629.0,0,0.4974905013932378,36134.0,35935.0,0,0.49999999999995537,11211.0,11211.0,0
37,181890.0,1216.0,180674.0,152,9,143,0.9933146407169114,0.49999999999996153,0.49693224015543436,0.0034870029175451253,0.9999507632421348,0.3344205288910871,0,0,0.0,0,0,0,143,2426,200064.0,65536.0,0.49395153443725437,30512.0,30128.0,2,0.4986966837225784,44144.0,44016.0,1,0.49999999999978767,2355.0,2355.0,1,0.4894013413926894,12077.0,11821.0,2,0.49999999999996153,13001.0,13001.0,0,0.4970386486568007,33093.0,32897.0,2,0.49636971303444466,34708.0,34456.0,3,0.4999999999999583,12000.0,12000.0,0
38,188506.0,1328.0,187178.0,149,7,142,0.9929551314016478,0.4999999999999619,0.494084946784186,0.00803373218346208,0.9997356880764572,0.3219990345134893,0,0,0.0,0,0,0,142,2455,199865.0,65536.0,0.4979024646040739,30512.0,30384.0,2,0.4973572664455477,45891.0,45635.0,2,0.4772407732863836,5690.0,5431.0,1,0.4838746053224715,13302.0,12873.0,1,0.4999999999999619,13142.0,13142.0,0,0.4980942738885598,33583.0,33455.0,1,0.49821019072653683,35758.0,35630.0,1,0.4999999999999529,10628.0,10628.0,0
39,184028.0,256.0,183772.0,141,2,139,0.998608907340182,0.4999999999999894,0.4370220499158964,0.16518078474610745,0.874997883671294,0.3611230356250126,0,0,0.0,0,0,0,139,2517,199933.0,65536.0,0.4999999999999854,34140.0,34140.0,0,0.4999999999999894,47106.0,47106.0,1,0.0,0.0,0.0,0,0.4999999999999608,12764.0,12764.0,0,0.4999999999999594,12321.0,12321.0,0,0.4980680994928611,33128.0,33000.0,1,0.49810829983446153,33832.0,33704.0,1,0.4999999999999534,10737.0,10737.0,0
40,174360.0,823.0,173537.0,133,6,127,0.9952798807065785,0.4999999999999849,0.4977435791659317,0.0022184748304536904,0.9999801349148818,0.3286504932323917,0,0,0.0,0,0,0,127,2473,198894.0,65536.0,0.4982163214811041,31561.0,31433.0,0,0.49855477308196083,37884.0,37756.0,0,0.4999999999996601,1471.0,1471.0,0,0.4940281795278068,10717.0,10589.0,1,0.49999999999995504,11121.0,11121.0,0,0.4999999999999849,33000.0,33000.0,0,0.49552582362248615,34755.0,34444.0,2,0.4956235356144957,13851.0,13723.0,0
41,181621.0,941.0,180680.0,138,7,131,0.994818881076522,0.4999999999999861,0.49732426620023673,0.002509071995228202,0.9999745471177164,0.33585942704863325,0,0,0.0,0,0,0,131,2570,201265.0,65536.0,0.49804894897907387,30512.0,30384.0,1,0.4969890854346891,42512.0,42256.0,3,0.4999999999997199,1785.0,1785.0,0,0.49999999999996514,14357.0,14357.0,0,0.493138250540346,12173.0,12000.0,0,0.4961510704835069,33256.0,33000.0,2,0.4999999999999861,35863.0,35863.0,0,0.4942667741646068,11163.0,11035.0,2
42,188588.0,512.0,188076.0,145,4,141,0.9972850870681009,0.49999999999998646,0.4991820577984985,0.0010993198549544745,0.9999951500895642,0.3509369631153616,0,0,0.0,0,0,0,141,2542,199968.0,65535.0,0.49813313108918683,34282.0,34154.0,2,0.4971141923120168,44355.0,44099.0,2,0.49999999999933425,751.0,751.0,0,0.4999999999999619,13139.0,13139.0,0,0.4999999999999474,9502.0,9502.0,1,0.49999999999998646,36748.0,36748.0,0,0.49820913898759,35737.0,35609.0,1,0.4999999999999645,14074.0,14074.0,0
43,194747.0,773.0,193974.0,148,6,142,0.9960307475853236,0.4999999999999862,0.4978785442853017,0.0034518361486069347,0.9999519345273518,0.3489687902766143,0,0,0.0,0,0,0,142,2584,199905.0,65536.0,0.49625559508778566,34852.0,34591.0,2,0.4989061801784453,47834.0,47706.0,0,0.49999999999977396,2212.0,2212.0,0,0.4893235707077157,11721.0,11465.0,1,0.4999999999999583,12000.0,12000.0,0,0.49854300830878884,37622.0,37494.0,0,0.4999999999999862,36120.0,36120.0,0,0.4999999999999596,12386.0,12386.0,0
44,193343.0,348.0,192995.0,157,3,154,0.9982000899954951,0.4999999999999873,0.4934152774922611,0.01620099937566568,0.9989230625198829,0.3332529494214935,0,0,0.0,0,0,0,154,2550,200098.0,65536.0,0.4999999999999856,34628.0,34628.0,0,0.49849454271733873,42512.0,42384.0,2,0.4505907626203538,931.0,839.0,1,0.499999999999964,13877.0,13877.0,1,0.4999999999999583,12000.0,12000.0,0,0.49823691460053726,36300.0,36172.0,2,0.4999999999999873,39253.0,39253.0,0,0.49999999999996386,13842.0,13842.0,0
