epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
30,720138.0,481641.0,238497.0,4128,2857,1271,0.3311823567149625,0.5949015772099249,0.4375231815366739,0.1259382013937692,0.9234856345724439,0.11477765372747983,0,0.38058080586773607,0.41678180731260867,97237.0,22768.0,330,0.5949015772099249,98148.0,57888.0,333,0.4545909585473722,70080.0,21688.0,334,0.35550073522326536,59349.0,6072.0,328,0.1810546875,85095.0,0.0,333,0.3985270459041565,87923.0,17068.0,335,0.5152804007506628,94716.0,40707.0,336,0.583548239845401,127590.0,72306.0,333
31,719123.0,442361.0,276762.0,4311,2766,1545,0.3848604480735557,0.6446066959594974,0.44512267279207646,0.13129448578327602,0.9199607788945501,0.20111389150395675,0,0.41192617374667867,0.6001915266054273,120655.0,72451.0,327,0.40295935628724777,53356.0,11284.0,328,0.3375723389420902,66492.0,5016.0,333,0.4667415677340274,61616.0,20584.0,336,0.2001953125,81563.0,0.0,333,0.4475181892487463,80781.0,23857.0,333,0.4611963950595752,87156.0,28124.0,334,0.6446066959594974,167504.0,115446.0,333
32,720758.0,421578.0,299180.0,4212,2716,1496,0.4150907794294334,0.6116512438408822,0.46294443957487863,0.1488650474418855,0.9062882426383385,0.17532271580752457,0,0.3567141689387601,0.5930458320945398,127077.0,74516.0,335,0.32949931204310096,53896.0,3164.0,335,0.5776272934347741,83334.0,46296.0,331,0.30964641607769466,48301.0,1696.0,336,0.20947265625,85748.0,0.0,338,0.4700704552946475,90438.0,30744.0,325,0.6025423075633899,98828.0,59780.0,333,0.6116512438408822,133136.0,82984.0,331
33,685781.0,441335.0,244446.0,3725,2491,1234,0.35644907047585106,0.5854799656330525,0.4395362462219151,0.12899322507061534,0.9207017872702463,0.15942352587779451,0,0.34918002420778455,0.4695587898720933,107355.0,36385.0,331,0.5299979789263143,69647.0,32323.0,330,0.5570838301700681,99477.0,51177.0,334,0.277587890625,43512.0,0.0,335,0.19130859375,70294.0,0.0,333,0.4716741390785183,87194.0,29989.0,331,0.43359878172027444,80272.0,21472.0,336,0.5854799656330525,128030.0,73100.0,333
34,624387.0,421750.0,202637.0,3608,2584,1024,0.3245375063862631,0.5594537483954315,0.4246319774864237,0.12061344454046698,0.9253432770061631,0.14749486296159242,0,0.31248932107966887,0.5332338991078323,103260.0,48712.0,333,0.3648249921932815,54040.0,7096.0,328,0.43138894461933575,72584.0,19116.0,331,0.374830739926986,69277.0,8670.0,334,0.16259765625,46792.0,0.0,337,0.439165727179939,81688.0,22856.0,333,0.5594537483954315,90075.0,46723.0,329,0.5315601122185835,106671.0,49464.0,331
35,682573.0,445589.0,236984.0,3765,2546,1219,0.34719216845670664,0.6109744272461272,0.4175476419127321,0.14278032369316612,0.8953115345886099,0.2051485701895619,0,0.3615237832504272,0.5319963366886589,120449.0,55464.0,330,0.3403725741704415,53854.0,4664.0,338,0.4153810543295966,67123.0,15496.0,335,0.28798828125,44622.0,0.0,331,0.153955078125,68615.0,0.0,330,0.44154533144695585,82632.0,23352.0,335,0.6109744272461272,107496.0,66920.0,330,0.5581680520450766,137782.0,71088.0,335
36,680822.0,461533.0,219289.0,3759,2641,1118,0.322094468157609,0.5684892832907622,0.42981419548165073,0.12357025947312636,0.9236557153876835,0.123778682239998,0,0.3244010547067521,0.5684892832907622,112343.0,60622.0,331,0.4183826235699036,64539.0,15060.0,332,0.4904268356044783,81874.0,31206.0,339,0.4527077261442122,74112.0,21448.0,334,0.1353515625,58107.0,0.0,338,0.5372897435738233,95644.0,45372.0,336,0.42321679578388016,84131.0,20782.0,332,0.4126489933861462,110072.0,24799.0,333
37,753081.0,455385.0,297696.0,4477,2802,1675,0.39530409079501355,0.5874130430039076,0.4648818050185474,0.13230092594251858,0.9250764581731752,0.14366299906650126,0,0.3495701169344675,0.5874130430039076,122987.0,70540.0,331,0.5570473531280151,85939.0,44164.0,336,0.43632104876907085,71011.0,19423.0,334,0.39481902274374187,54504.0,10352.0,337,0.16708984375,86790.0,0.0,334,0.5794221918682579,106092.0,59320.0,330,0.44042201914603213,94468.0,26540.0,334,0.5565199177393536,131290.0,67357.0,330
38,756974.0,460685.0,296289.0,4492,2786,1706,0.3914123866869927,0.5880719957095052,0.48011450032579195,0.12378825501919181,0.9376670215995804,0.09299592852594651,0,0.33863746546234347,0.5255998522324301,111112.0,50112.0,333,0.5880719957095052,80465.0,46383.0,329,0.5276490243888046,83561.0,38037.0,329,0.43625198857009906,66454.0,18096.0,335,0.191748046875,91904.0,0.0,327,0.5777126392992107,104042.0,57879.0,337,0.5725526751893913,105600.0,57625.0,330,0.4213297803418943,113836.0,28157.0,329
39,659383.0,445244.0,214139.0,3710,2441,1269,0.32475662854516973,0.6170172234122517,0.4209440186026089,0.12766564022921278,0.9157666286419325,0.17395523542463165,0,0.3501497467874073,0.39157996976038517,99869.0,18292.0,339,0.46767110925446115,64296.0,21580.0,334,0.5458317576872685,88588.0,44386.0,335,0.41457664824694884,51250.0,12660.0,335,0.15615234375,59618.0,0.0,332,0.4084573901902253,82083.0,17797.0,331,0.36626570651933044,71949.0,9936.0,337,0.6170172234122517,141730.0,89488.0,331
